22747	07	19	55.705451	37.492443	07	54	55.736915	37.687572
1661	07	37	55.546107	37.588309	08	40	55.645723	37.500394
61488	07	54	55.774857	37.678522	08	14	55.804142	37.561619
15396	08	24	55.67757	37.666178	08	57	55.605493	37.288906
94419	08	33	55.962951	37.405915	09	50	55.713143	37.816152
77533	08	37	55.808349	37.49224	08	51	55.77604	37.655345
85898	08	44	55.854443	37.68294	09	18	55.643153	37.675437
32474	08	48	55.731829	37.663988	08	54	55.724476	37.654721
90227	09	01	55.888275	37.562674	09	51	55.814283	37.832809
77621	09	03	55.80873	37.521636	09	27	55.756319	37.573485
23422	09	03	55.707698	37.668491	09	10	55.718693	37.681537
55756	09	05	55.766274	37.532457	09	45	55.726021	37.631266
24940	09	05	55.712916	37.406911	09	22	55.677916	37.296692
25501	09	13	55.714727	37.504613	09	45	55.726784	37.526239
65045	09	23	55.779838	37.635628	09	37	55.78264	37.723374
10568	09	25	55.658251	37.57466	09	34	55.649749	37.551883
54355	09	25	55.764165	37.595708	09	42	55.733307	37.61076
16941	09	33	55.682259	37.670864	09	44	55.696067	37.625231
59747	09	36	55.772666	37.590097	10	01	55.798554	37.603383
48757	09	55	55.757027	37.827526	10	06	55.725854	37.830626
8411	10	07	55.646944	37.34122	10	49	55.755462	37.665028
14243	10	08	55.672817	37.512841	10	28	55.73338	37.619714
5123	10	24	55.617068	37.699183	11	14	55.699314	37.614736
27439	10	27	55.721308	37.653866	10	43	55.773615	37.586938
75722	10	41	55.804038	37.582137	11	20	55.789925	37.709995
1240	11	02	55.469716	37.292056	12	07	55.410307	37.902451
65223	11	04	55.780186	37.529593	11	44	55.695548	37.39054
74722	11	16	55.800999	37.821422	11	21	55.804389	37.833198
67529	11	22	55.784432	37.589441	11	38	55.791567	37.677729
17108	11	26	55.682799	37.482834	12	21	55.593868	37.351896
74530	11	45	55.800409	37.54617	12	29	55.796579	37.622107
46575	11	51	55.753666	37.611043	12	01	55.747123	37.539036
23260	12	06	55.707107	37.572441	12	50	55.797125	37.78385
20437	12	06	55.695924	37.501258	12	19	55.722805	37.519447
83297	12	12	55.834634	37.658057	12	33	55.766299	37.607571
27503	12	30	55.721471	37.786628	12	54	55.742121	37.683033
9764	13	25	55.654569	37.606026	14	01	55.551973	37.827283
29751	13	26	55.726053	37.644338	14	05	55.739974	37.526302
35041	13	30	55.736627	37.498323	14	42	55.77736	37.6571
38492	13	44	55.742009	37.588939	14	08	55.652217	37.48639
44751	14	17	55.750863	37.649731	14	31	55.749391	37.710985
71188	14	29	55.792163	37.566357	14	55	55.752016	37.593721
17307	14	32	55.683473	37.891315	15	20	55.749391	37.710985
43917	14	36	55.749488	37.682746	15	17	55.762067	37.680711
94495	15	01	55.962951	37.405915	16	11	55.733634	37.62469
76164	15	07	55.805212	37.393004	16	23	55.723759	37.654787
38652	15	37	55.742301	37.647406	16	02	55.778592	37.587878
44371	15	47	55.750303	37.583633	17	44	55.766299	37.607571
50763	15	55	55.759359	37.666006	16	17	55.790057	37.704719
40859	15	57	55.745735	37.629565	16	20	55.747025	37.591133
